unique_id,date,headline,source,url
2020-05-06_ko_0001,2020-05-06,"Klaster Penyebaran Covid-19 di Kaltim, Terbanyak dari Peserta Ijtima Ulama Gowa",Kompas,https://regional.kompas.com/read/2020/05/06/23540051/klaster-penyebaran-covid-19-di-kaltim-terbanyak-dari-peserta-ijtima-ulama
2020-05-06_ko_0002,2020-05-06,"Tak Punya Gawai untuk Akses Belajar Online, Guru di Gunungkidul Datangi Siswanya",Kompas,https://regional.kompas.com/read/2020/05/06/23353371/tak-punya-gawai-untuk-akses-belajar-online-guru-di-gunungkidul-datangi
2020-05-06_ko_0003,2020-05-06,2 Orang Tewas dan 4 Luka Tertimpa Longsoran Tambang Batu di Rembang,Kompas,https://regional.kompas.com/read/2020/05/06/23182961/2-orang-tewas-dan-4-luka-tertimpa-longsoran-tambang-batu-di-rembang
2020-05-06_ko_0004,2020-05-06,"17.003 Buruh di Sumedang Dirumahkan, 1.962 Diputus Kontrak dan 68 Kena PHK",Kompas,https://regional.kompas.com/read/2020/05/06/23113521/17003-buruh-di-sumedang-dirumahkan-1962-diputus-kontrak-dan-68-kena-phk
2020-05-06_ko_0005,2020-05-06,Menteri Desa Jelaskan Alur Pendataan Warga Penerimaan BLT Dana Desa,Kompas,https://nasional.kompas.com/read/2020/05/06/23083311/menteri-desa-jelaskan-alur-pendataan-warga-penerimaan-blt-dana-desa
2020-05-06_ko_0006,2020-05-06,Penjelasan Polisi soal Tewasnya Pemuda di Grobogan karena Overdosis Lem Aibon,Kompas,https://regional.kompas.com/read/2020/05/06/23061921/penjelasan-polisi-soal-tewasnya-pemuda-di-grobogan-karena-overdosis-lem
2020-05-06_ko_0007,2020-05-06,KPK Ingatkan Kepala Daerah soal Titik Rawan Korupsi dalam Penanganan Covid-19,Kompas,https://nasional.kompas.com/read/2020/05/06/23023011/kpk-ingatkan-kepala-daerah-soal-titik-rawan-korupsi-dalam-penanganan-covid
2020-05-06_ko_0008,2020-05-06,"PSBB di Kota Bandung, Pemotor Boleh Boncengan dan Ojol Bisa Bawa Orang",Kompas,https://regional.kompas.com/read/2020/05/06/23013751/psbb-di-kota-bandung-pemotor-boleh-boncengan-dan-ojol-bisa-bawa-orang
2020-05-06_ko_0009,2020-05-06,3 Pelaku Bunuh Penjaga Pos Covid-19 karena Masalah Tanah,Kompas,https://regional.kompas.com/read/2020/05/06/22570611/3-pelaku-bunuh-penjaga-pos-covid-19-karena-masalah-tanah
2020-05-06_ko_0010,2020-05-06,Keluarga Bayi yang Meninggal di RSUP M Djamil Padang Lapor ke Polisi,Kompas,https://regional.kompas.com/read/2020/05/06/22534641/keluarga-bayi-yang-meninggal-di-rsup-m-djamil-padang-lapor-ke-polisi
2020-05-06_ko_0011,2020-05-06," Bansos Diberikan 3 Bulan, Berupa Sembako dan Beras Bulog",Kompas,https://nasional.kompas.com/read/2020/05/06/22532351/mensos-bansos-diberikan-3-bulan-berupa-sembako-dan-beras-bulog
2020-05-06_ko_0012,2020-05-06,"Hari Pertama PSBB, Tak Ada Penambahan Kasus Positif di Karawang",Kompas,https://regional.kompas.com/read/2020/05/06/22481811/hari-pertama-psbb-tak-ada-penambahan-kasus-positif-di-karawang
2020-05-06_ko_0013,2020-05-06,"UPDATE Corona Jatim: Positif Bertambah 58 Kasus, Tersebar Merata di 17 Kabupaten/Kota",Kompas,https://regional.kompas.com/read/2020/05/06/22421801/update-corona-jatim-positif-bertambah-58-kasus-tersebar-merata-di-17
2020-05-06_ko_0014,2020-05-06,"Antisipasi Lonjakan Kasus Corona, PSBB Banjarmasin Bakal Diperpanjang",Kompas,https://regional.kompas.com/read/2020/05/06/22415121/antisipasi-lonjakan-kasus-corona-psbb-banjarmasin-bakal-diperpanjang
2020-05-06_ko_0015,2020-05-06,"Kemensos Mulai Distribusikan Bansos ke Wilayah Bodetabek, Target 600.000 KK",Kompas,https://nasional.kompas.com/read/2020/05/06/22372531/kemensos-mulai-distribusikan-bansos-ke-wilayah-bodetabek-target-600000-kk
2020-05-06_ko_0016,2020-05-06,Polisi Duga Orangtua YouTuber Ferdian Paleka Bantu Sembunyikan Anaknya,Kompas,https://regional.kompas.com/read/2020/05/06/22361421/polisi-duga-orangtua-youtuber-ferdian-paleka-bantu-sembunyikan-anaknya
2020-05-06_ko_0017,2020-05-06,"Ini Pemicu Gempa 7,3 Magnitudo di Maluku",Kompas,https://regional.kompas.com/read/2020/05/06/22352621/ini-pemicu-gempa-73-magnitudo-di-maluku
2020-05-06_ko_0018,2020-05-06,"Di Tengah Pandemi Covid-19, BNPT Imbau Masyarakat Tak Terpengaruh Narasi Teroris",Kompas,https://nasional.kompas.com/read/2020/05/06/22233471/di-tengah-pandemi-covid-19-bnpt-imbau-masyarakat-tak-terpengaruh-narasi
2020-05-06_ko_0019,2020-05-06,"Gempa Maluku Magnitudo 7,3, Warga: Kami Masih di Luar, Belum Berani ke Rumah",Kompas,https://regional.kompas.com/read/2020/05/06/22081621/gempa-maluku-magnitudo-73-warga-kami-masih-di-luar-belum-berani-ke-rumah
2020-05-06_ko_0020,2020-05-06,"Antisipasi Gelombang Kedua Covid-19, Pemerintah Siapkan Skenario",Kompas,https://nasional.kompas.com/read/2020/05/06/22044371/antisipasi-gelombang-kedua-covid-19-pemerintah-siapkan-skenario
2020-05-06_ko_0021,2020-05-06,"Sumbang Penularan Tinggi, 3 Kecamatan di Kota Bandung Diawasi Ketat",Kompas,https://regional.kompas.com/read/2020/05/06/22043831/sumbang-penularan-tinggi-3-kecamatan-di-kota-bandung-diawasi-ketat
2020-05-06_ko_0022,2020-05-06,"Didatangi PMI Solo, Keluarga dengan Balita yang Tinggal di Becak Enggan Pindah",Kompas,https://regional.kompas.com/read/2020/05/06/22041041/didatangi-pmi-solo-keluarga-dengan-balita-yang-tinggal-di-becak-enggan
