unique_id,date,source,headline,url
2022-06-29_ko_0000,2022-06-29,Kompas,Jokowi Sampaikan Undangan KTT G20 kepada Zelensky,https://nasional.kompas.com/read/2022/06/29/23272781/jokowi-sampaikan-undangan-ktt-g20-kepada-zelensky
2022-06-29_ko_0001,2022-06-29,Kompas,"Berterima Kasih, Zelensky Singgung Jokowi Pemimpin Pertama Asia Kunjungi Ukraina",https://nasional.kompas.com/read/2022/06/29/23092181/berterima-kasih-zelensky-singgung-jokowi-pemimpin-pertama-asia-kunjungi
2022-06-29_ko_0002,2022-06-29,Kompas,"Kepada Zelensky, Jokowi Tawarkan Diri Jadi Pembawa Pesan untuk Putin",https://nasional.kompas.com/read/2022/06/29/22540731/kepada-zelensky-jokowi-tawarkan-diri-jadi-pembawa-pesan-untuk-putin
2022-06-29_ko_0003,2022-06-29,Kompas,BERITA FOTO: Momen Pertemuan 4 Mata Jokowi dan Zelensky di Kyiv Ukraina,https://nasional.kompas.com/read/2022/06/29/22362031/berita-foto-momen-pertemuan-4-mata-jokowi-dan-zelensky-di-kyiv-ukraina
2022-06-29_ko_0004,2022-06-29,Kompas,"Posko Dukcapil di Rawa Buaya Masih Dibuka Besok, Layani Warga yang Ingin Ubah Data Kependudukan",https://megapolitan.kompas.com/read/2022/06/29/22280261/posko-dukcapil-di-rawa-buaya-masih-dibuka-besok-layani-warga-yang-ingin
2022-06-29_ko_0005,2022-06-29,Kompas,"Siap Kaji Fatwa Penggunaan Ganja untuk Medis, Ini penjelasan MUI",https://nasional.kompas.com/read/2022/06/29/22241451/siap-kaji-fatwa-penggunaan-ganja-untuk-medis-ini-penjelasan-mui
2022-06-29_ko_0006,2022-06-29,Kompas,Cerita Ibu-ibu Pilih Piknik di Kota Tua Jakarta saat Anak Libur Sekolah,https://megapolitan.kompas.com/read/2022/06/29/22230611/cerita-ibu-ibu-pilih-piknik-di-kota-tua-jakarta-saat-anak-libur-sekolah
2022-06-29_ko_0007,2022-06-29,Kompas,"Benda Mencurigakan Ditemukan di Lapas Kelas IIA Tangerang, Polisi Sebut Bukan Bom",https://megapolitan.kompas.com/read/2022/06/29/22171641/benda-mencurigakan-ditemukan-di-lapas-kelas-iia-tangerang-polisi-sebut
2022-06-29_ko_0008,2022-06-29,Kompas,"Benda Mencurigakan Ditemukan di Lapas Kelas IIA Tangerang, Mobil Brimob hingga Gegana Keluar dari Lokasi",https://megapolitan.kompas.com/read/2022/06/29/22142321/benda-mencurigakan-ditemukan-di-lapas-kelas-iia-tangerang-mobil-brimob
2022-06-29_ko_0009,2022-06-29,Kompas,Polri Diharapkan Pecat Brotoseno lewat PK Putusan Sidang Etik,https://nasional.kompas.com/read/2022/06/29/22001111/polri-diharapkan-pecat-brotoseno-lewat-pk-putusan-sidang-etik
