unique_id,date,source,headline,url
2022-01-23_ko_0000,2022-01-23,Kompas,"Sekolah di Depok Gelar PTM 100 Persen Besok, Kantin Ditutup dan Istirahat Diperpendek",https://megapolitan.kompas.com/read/2022/01/23/21431931/sekolah-di-depok-gelar-ptm-100-persen-besok-kantin-ditutup-dan-istirahat
2022-01-23_ko_0001,2022-01-23,Kompas,Kemenag: Total 4.674 Jemaah Berangkat Umrah Sejak Januari,https://nasional.kompas.com/read/2022/01/23/21401241/kemenag-total-4674-jemaah-berangkat-umrah-sejak-januari
2022-01-23_ko_0002,2022-01-23,Kompas,"UPDATE: Bertambah 1.739, Kasus Covid-19 di DKI Jakarta Kini Ada 879.307",https://megapolitan.kompas.com/read/2022/01/23/21335921/update-bertambah-1739-kasus-covid-19-di-dki-jakarta-kini-ada-879307
2022-01-23_ko_0003,2022-01-23,Kompas,12 Pompa Apung dan 5 Pompa Mobile Dikerahkan untuk Surutkan Banjir di Tegal Alur,https://megapolitan.kompas.com/read/2022/01/23/21292971/12-pompa-apung-dan-5-pompa-mobile-dikerahkan-untuk-surutkan-banjir-di
2022-01-23_ko_0004,2022-01-23,Kompas,"Tak Hanya Pasien Lansia dan Komorbid, Risiko Fatalitas Varian Omicron Juga Mengancam Anak-anak",https://nasional.kompas.com/read/2022/01/23/21223221/tak-hanya-pasien-lansia-dan-komorbid-risiko-fatalitas-varian-omicron-juga
2022-01-23_ko_0005,2022-01-23,Kompas,Sopir Minibus Selamat Usai Terjepit karena Tabrak Truk di Klender,https://megapolitan.kompas.com/read/2022/01/23/21153001/sopir-minibus-selamat-usai-terjepit-karena-tabrak-truk-di-klender
2022-01-23_ko_0006,2022-01-23,Kompas,Dua Tersangka Kasus Penyekapan Wanita di Tangerang Diamankan Polisi,https://megapolitan.kompas.com/read/2022/01/23/21055871/dua-tersangka-kasus-penyekapan-wanita-di-tangerang-diamankan-polisi
2022-01-23_ko_0007,2022-01-23,Kompas,"UPDATE 23 Januari: 251.907 Spesimen Diperiksa, Positivity Rate PCR 9,22 Persen",https://nasional.kompas.com/read/2022/01/23/21022571/update-23-januari-251907-spesimen-diperiksa-positivity-rate-pcr-922-persen
2022-01-23_ko_0008,2022-01-23,Kompas,Golkar Janji Tak Akan Usung Capres Selain Airlangga di Pilpres 2024,https://nasional.kompas.com/read/2022/01/23/20514651/golkar-janji-tak-akan-usung-capres-selain-airlangga-di-pilpres-2024
2022-01-23_ko_0009,2022-01-23,Kompas,Cerita Pramono Anung tentang Megawati: Pernah Akan Pecat Kader yang Mau Interupsi Pidato SBY,https://nasional.kompas.com/read/2022/01/23/20485011/cerita-pramono-anung-tentang-megawati-pernah-akan-pecat-kader-yang-mau
2022-01-23_ko_0010,2022-01-23,Kompas,Sajam yang Dipakai untuk Menusuk Anggota TNI AD di Jakarta Utara Sudah Ditemukan,https://megapolitan.kompas.com/read/2022/01/23/20034871/sajam-yang-dipakai-untuk-menusuk-anggota-tni-ad-di-jakarta-utara-sudah
2022-01-23_ko_0011,2022-01-23,Kompas,"Giring-Anies Saling Sindir, Pengamat: Hanya untuk Menyenangkan Masing-masing Pendukungnya",https://megapolitan.kompas.com/read/2022/01/23/19581141/giring-anies-saling-sindir-pengamat-hanya-untuk-menyenangkan-masing
2022-01-23_ko_0012,2022-01-23,Kompas,Golkar Akan Kerahkan Organisasi Sayap untuk Promosikan Airlangga,https://nasional.kompas.com/read/2022/01/23/19522061/golkar-akan-kerahkan-organisasi-sayap-untuk-promosikan-airlangga
2022-01-23_ko_0013,2022-01-23,Kompas,UPDATE 23 Januari: 18.891 Pasien Covid-19 di Indonesia Masih Jalani Isolasi,https://nasional.kompas.com/read/2022/01/23/19482911/update-23-januari-18891-pasien-covid-19-di-indonesia-masih-jalani-isolasi
2022-01-23_ko_0014,2022-01-23,Kompas,"Apresiasi Kinerja KPK Tetapkan Rahmat Effendi Tersangka, Warga Bekasi Utara Cukur Gundul",https://megapolitan.kompas.com/read/2022/01/23/19454051/apresiasi-kinerja-kpk-tetapkan-rahmat-effendi-tersangka-warga-bekasi
2022-01-23_ko_0015,2022-01-23,Kompas,"Saling Sindir Anies-Giring, Pengamat: Politik Itu soal Perkelahian, Menegasi dan Membantah",https://nasional.kompas.com/read/2022/01/23/19401071/saling-sindir-anies-giring-pengamat-politik-itu-soal-perkelahian-menegasi
2022-01-23_ko_0016,2022-01-23,Kompas,Guntur Soekarnoputra Ungkap Masa Kecil Megawati: Jago Main Bola,https://nasional.kompas.com/read/2022/01/23/19143361/guntur-soekarnoputra-ungkap-masa-kecil-megawati-jago-main-bola
2022-01-23_ko_0017,2022-01-23,Kompas,Pemprov DKI Jakarta Disarankan Terus Gencarkan Vaksinasi Booster Covid-19,https://megapolitan.kompas.com/read/2022/01/23/19023611/pemprov-dki-jakarta-disarankan-terus-gencarkan-vaksinasi-booster-covid-19
2022-01-23_ko_0018,2022-01-23,Kompas,UPDATE 23 Januari: 2.925 Kasus Baru Covid-19 Tersebar di 27 Provinsi,https://nasional.kompas.com/read/2022/01/23/18594341/update-23-januari-2925-kasus-baru-covid-19-tersebar-di-27-provinsi
2022-01-23_ko_0019,2022-01-23,Kompas,UPDATE 23 Januari: 124.080.794 Orang Sudah Divaksinasi Covid-19 Dosis Kedua,https://nasional.kompas.com/read/2022/01/23/18590121/update-23-januari-124080794-orang-sudah-divaksinasi-covid-19-dosis-kedua
