unique_id,date,source,headline,url
2021-01-31_ko_0000,2021-01-31,Kompas,"Pulang Memancing, Pria Ini Terpeleset Jatuh ke Laut, hingga Kini Masih Hilang",https://regional.kompas.com/read/2021/01/31/23252371/pulang-memancing-pria-ini-terpeleset-jatuh-ke-laut-hingga-kini-masih-hilang
2021-01-31_ko_0001,2021-01-31,Kompas,"3.776 Kasus Baru Covid-19 di Sulut Selama Januari, Meningkat 36,5 Persen",https://regional.kompas.com/read/2021/01/31/22402881/3776-kasus-baru-covid-19-di-sulut-selama-januari-meningkat-365-persen
2021-01-31_ko_0002,2021-01-31,Kompas,Jokowi Sebut Lockdown Tak Jamin Tekan Penularan Covid-19,https://nasional.kompas.com/read/2021/01/31/22323721/jokowi-sebut-lockdown-tak-jamin-tekan-penularan-covid-19
2021-01-31_ko_0003,2021-01-31,Kompas,Kesaksian Warga di Kaki Gunung Beser Merasakan Getaran Sebelum Bunyi Dentuman,https://regional.kompas.com/read/2021/01/31/22034381/kesaksian-warga-di-kaki-gunung-beser-merasakan-getaran-sebelum-bunyi
2021-01-31_ko_0004,2021-01-31,Kompas,"Puluhan Pegawai Positif Covid-19, Kantor Gubernur Kaltim Ditutup 11 Hari",https://regional.kompas.com/read/2021/01/31/21563321/puluhan-pegawai-positif-covid-19-kantor-gubernur-kaltim-ditutup-11-hari
2021-01-31_ko_0005,2021-01-31,Kompas,KPK Harap MA Bersikap Independen Periksa Permohonan PK Terpidana Korupsi,https://nasional.kompas.com/read/2021/01/31/21504191/kpk-harap-ma-bersikap-independen-periksa-permohonan-pk-terpidana-korupsi
2021-01-31_ko_0006,2021-01-31,Kompas,"Ternyata Dinar dan Dirham Pernah Ada di Pasar Muamalah Cipondoh, Ini Cerita Koordinatornya",https://megapolitan.kompas.com/read/2021/01/31/21283131/ternyata-dinar-dan-dirham-pernah-ada-di-pasar-muamalah-cipondoh-ini
2021-01-31_ko_0007,2021-01-31,Kompas,Waketum MUI Sebut Kasus Abu Janda Batu Ujian Pertama Kapolri,https://nasional.kompas.com/read/2021/01/31/21144521/waketum-mui-sebut-kasus-abu-janda-batu-ujian-pertama-kapolri
2021-01-31_ko_0008,2021-01-31,Kompas,"Tak Terima Dirazia, Pemilik Warkop Melawan dan Ancam Bunuh Petugas, Satpol PP: Ngakunya Punya Keluarga Polisi",https://regional.kompas.com/read/2021/01/31/21115661/tak-terima-dirazia-pemilik-warkop-melawan-dan-ancam-bunuh-petugas-satpol-pp
2021-01-31_ko_0009,2021-01-31,Kompas,"Mal BTM Bogor Kebakaran, Dugaan Sementara Akibat Korsleting Listrik",https://megapolitan.kompas.com/read/2021/01/31/20531841/mal-btm-bogor-kebakaran-dugaan-sementara-akibat-korsleting-listrik
2021-01-31_ko_0010,2021-01-31,Kompas,"Cuaca Buruk, Angin Kencang dan Longsor Landa 3 Kecamatan di Wonogiri",https://regional.kompas.com/read/2021/01/31/20514471/cuaca-buruk-angin-kencang-dan-longsor-landa-3-kecamatan-di-wonogiri
2021-01-31_ko_0011,2021-01-31,Kompas,"Direkam Saat Mandi, Gadis 16 Tahun Ini Diancam Ayah Tiri untuk Berhubungan Badan",https://regional.kompas.com/read/2021/01/31/20500031/direkam-saat-mandi-gadis-16-tahun-ini-diancam-ayah-tiri-untuk-berhubungan
2021-01-31_ko_0012,2021-01-31,Kompas,Pengakuan Pembuat Video Hasil Tes Antigen Negatif Tanpa Tes yang Viral: Siap Jadi Saksi di Kepolisian,https://megapolitan.kompas.com/read/2021/01/31/20350721/pengakuan-pembuat-video-hasil-tes-antigen-negatif-tanpa-tes-yang-viral
2021-01-31_ko_0013,2021-01-31,Kompas,"Tabrak Batang Kayu, Kapal Bermuatan 17 Penumpang Tenggelam di Sungai Mahakam",https://regional.kompas.com/read/2021/01/31/20180131/tabrak-batang-kayu-kapal-bermuatan-17-penumpang-tenggelam-di-sungai-mahakam
2021-01-31_ko_0014,2021-01-31,Kompas,"Uji Coba Flyover Lenteng Agung dan Tanjung Barat, Pengendara Dilarang Berhenti dan Berfoto",https://megapolitan.kompas.com/read/2021/01/31/20122251/uji-coba-flyover-lenteng-agung-dan-tanjung-barat-pengendara-dilarang
2021-01-31_ko_0015,2021-01-31,Kompas,Polisi: Laki-laki yang Lompat dari JLNT Antasari Depresi karena Tak Punya Pekerjaan,https://megapolitan.kompas.com/read/2021/01/31/19561531/polisi-laki-laki-yang-lompat-dari-jlnt-antasari-depresi-karena-tak-punya
2021-01-31_ko_0016,2021-01-31,Kompas,"Penegakan Aturan kepada Pelaku Usaha yang Bandel Saat PPKM Lemah, Satpol PP: Kami Kasihan...",https://regional.kompas.com/read/2021/01/31/19560281/penegakan-aturan-kepada-pelaku-usaha-yang-bandel-saat-ppkm-lemah-satpol-pp
2021-01-31_ko_0017,2021-01-31,Kompas,"Gunung Merapi Semburkan Awan Panas, Jarak Luncur 600 Meter",https://regional.kompas.com/read/2021/01/31/19490541/gunung-merapi-semburkan-awan-panas-jarak-luncur-600-meter
2021-01-31_ko_0018,2021-01-31,Kompas,"Jokowi: Enggak Apa-apa Ekonomi Turun, asalkan Covid Juga Turun",https://nasional.kompas.com/read/2021/01/31/19460171/jokowi-enggak-apa-apa-ekonomi-turun-asalkan-covid-juga-turun
2021-01-31_ko_0019,2021-01-31,Kompas,"Kebakaran di Mal BTM Bogor, 2 Petugas Sekuriti Terluka Saat Ambil APAR",https://megapolitan.kompas.com/read/2021/01/31/19352821/kebakaran-di-mal-btm-bogor-2-petugas-sekuriti-terluka-saat-ambil-apar
2021-01-31_ko_0020,2021-01-31,Kompas,"Ramai Diburu Warga, Air Rendaman Batu Meteorit Bisa Picu Penyakit, Ini Penjelasan Ahli",https://regional.kompas.com/read/2021/01/31/19300081/ramai-diburu-warga-air-rendaman-batu-meteorit-bisa-picu-penyakit-ini
2021-01-31_ko_0021,2021-01-31,Kompas,"Besok, Bareskrim Juga Periksa Abu Janda soal Dugaan Rasialisme terhadap Natalius Pigai",https://nasional.kompas.com/read/2021/01/31/19260891/besok-bareskrim-juga-periksa-abu-janda-soal-dugaan-rasialisme-terhadap
2021-01-31_ko_0022,2021-01-31,Kompas,"Operasi Yustisi, Pemilik Warkop Ngamuk Nyaris Tabrak Petugas dengan Mobil",https://regional.kompas.com/read/2021/01/31/19234301/operasi-yustisi-pemilik-warkop-ngamuk-nyaris-tabrak-petugas-dengan-mobil
2021-01-31_ko_0023,2021-01-31,Kompas,"Kronologi Laki-Laki Lompat dari JLNT Antasari, Sempat Ditolong Warga Sebelum Akhirnya Tewas",https://megapolitan.kompas.com/read/2021/01/31/19165171/kronologi-laki-laki-lompat-dari-jlnt-antasari-sempat-ditolong-warga
2021-01-31_ko_0024,2021-01-31,Kompas,Jokowi Akui PPKM Tak Efektif Tekan Penularan Covid-19,https://nasional.kompas.com/read/2021/01/31/19061561/jokowi-akui-ppkm-tak-efektif-tekan-penularan-covid-19
2021-01-31_ko_0025,2021-01-31,Kompas,Laki-laki yang Lompat dari JLNT Antasari Tinggalkan Motor di Lokasi Kejadian,https://megapolitan.kompas.com/read/2021/01/31/18564961/laki-laki-yang-lompat-dari-jlnt-antasari-tinggalkan-motor-di-lokasi
2021-01-31_ko_0026,2021-01-31,Kompas,"Satpol PP Nunukan Biarkan Warganya Melanggar Protokol Kesehatan, Alasannya karena Bingung",https://regional.kompas.com/read/2021/01/31/18440201/satpol-pp-nunukan-biarkan-warganya-melanggar-protokol-kesehatan-alasannya
2021-01-31_ko_0027,2021-01-31,Kompas,"493.133 Tenaga Kesehatan Divaksin Covid-19, 22.548 di Antaranya Sudah Terima Dosis ke-2",https://nasional.kompas.com/read/2021/01/31/18425221/493133-tenaga-kesehatan-divaksin-covid-19-22548-di-antaranya-sudah-terima
2021-01-31_ko_0028,2021-01-31,Kompas,Sopir Angkot Kabur Usai Mobilnya Terbalik dan Sebabkan 2 Penumpang Tewas,https://regional.kompas.com/read/2021/01/31/18391371/sopir-angkot-kabur-usai-mobilnya-terbalik-dan-sebabkan-2-penumpang-tewas
2021-01-31_ko_0029,2021-01-31,Kompas,"Diduga Ngantuk Saat Bawa Motor, Pelajar Ini Tewas Masuk di Sungai",https://regional.kompas.com/read/2021/01/31/18322771/diduga-ngantuk-saat-bawa-motor-pelajar-ini-tewas-masuk-di-sungai
2021-01-31_ko_0030,2021-01-31,Kompas,Kakak Beradik Penumpang SJ182 Itu Dimakamkan Bersebelahan,https://regional.kompas.com/read/2021/01/31/18212211/kakak-beradik-penumpang-sj182-itu-dimakamkan-bersebelahan
2021-01-31_ko_0031,2021-01-31,Kompas,"Angkot Terbalik hingga Tewaskan 2 Penumpang di Medan, Polisi Buru Sopir",https://regional.kompas.com/read/2021/01/31/18210061/angkot-terbalik-hingga-tewaskan-2-penumpang-di-medan-polisi-buru-sopir
2021-01-31_ko_0032,2021-01-31,Kompas,"UPDATE 31 Januari: Bertambah 3.474, Kasus Covid-19 di Jakarta Kini 269.718",https://megapolitan.kompas.com/read/2021/01/31/18143591/update-31-januari-bertambah-3474-kasus-covid-19-di-jakarta-kini-269718
2021-01-31_ko_0033,2021-01-31,Kompas,"UPDATE 31 Januari: Ada 51 Kasus Baru Covid-19 di Kota Tangerang, 99 Pasien Sembuh",https://megapolitan.kompas.com/read/2021/01/31/18111681/update-31-januari-ada-51-kasus-baru-covid-19-di-kota-tangerang-99-pasien
2021-01-31_ko_0034,2021-01-31,Kompas,"PPATK: Beberapa Rekening FPI dan Afiliasinya akan Diblokir Polri, Diduga Ada Pelanggaran Hukum",https://nasional.kompas.com/read/2021/01/31/18075951/ppatk-beberapa-rekening-fpi-dan-afiliasinya-akan-diblokir-polri-diduga-ada
2021-01-31_ko_0035,2021-01-31,Kompas,"Mal BTM Bogor Kebakaran, Warga Gemetar karena Sempat Dengar Ledakan",https://megapolitan.kompas.com/read/2021/01/31/18071871/mal-btm-bogor-kebakaran-warga-gemetar-karena-sempat-dengar-ledakan
2021-01-31_ko_0036,2021-01-31,Kompas,"Kecelakaan Angkot di Medan, Sempat Oleng dan Terbalik hingga Tabrak Tiang Telkom",https://regional.kompas.com/read/2021/01/31/18050001/kecelakaan-angkot-di-medan-sempat-oleng-dan-terbalik-hingga-tabrak-tiang
2021-01-31_ko_0037,2021-01-31,Kompas,"Pria Ini Dianiaya dengan 50 Tusukan, Pelakunya Masih Misterius",https://regional.kompas.com/read/2021/01/31/18044231/pria-ini-dianiaya-dengan-50-tusukan-pelakunya-masih-misterius
2021-01-31_ko_0038,2021-01-31,Kompas,"Uji Coba Flyover Lenteng Agung, Lurah: Warga Antusias, Ada yang Selfie",https://megapolitan.kompas.com/read/2021/01/31/17580371/uji-coba-flyover-lenteng-agung-lurah-warga-antusias-ada-yang-selfie
2021-01-31_ko_0039,2021-01-31,Kompas,"Polisi Telanjur Panjat Pagar Tiga Meter untuk Selamatkan Mahasiswi yang Diculik, Ternyata...",https://regional.kompas.com/read/2021/01/31/17431811/polisi-telanjur-panjat-pagar-tiga-meter-untuk-selamatkan-mahasiswi-yang
2021-01-31_ko_0040,2021-01-31,Kompas,"Seorang Laki-laki Tewas Bunuh Diri, Lompat dari JLNT Antasari",https://megapolitan.kompas.com/read/2021/01/31/17384721/seorang-laki-laki-tewas-bunuh-diri-lompat-dari-jlnt-antasari
2021-01-31_ko_0041,2021-01-31,Kompas,Satpol PP Kota Tangerang Bubarkan Warga yang Berolahraga di Alun-alun Ahmad Yani,https://megapolitan.kompas.com/read/2021/01/31/17325611/satpol-pp-kota-tangerang-bubarkan-warga-yang-berolahraga-di-alun-alun
2021-01-31_ko_0042,2021-01-31,Kompas,"Pemeriksaan Rekening FPI dan Afiliasinya Rampung, PPATK Sampaikan Laporannya ke Polri",https://nasional.kompas.com/read/2021/01/31/17203341/pemeriksaan-rekening-fpi-dan-afiliasinya-rampung-ppatk-sampaikan-laporannya
2021-01-31_ko_0043,2021-01-31,Kompas,Detik-detik 2 Wanita Tepergok Bawa Sabu Senilai Rp 359 Juta di Dubur dan Selangkangan,https://regional.kompas.com/read/2021/01/31/17180081/detik-detik-2-wanita-tepergok-bawa-sabu-senilai-rp-359-juta-di-dubur-dan
2021-01-31_ko_0044,2021-01-31,Kompas,"Angkot Ngebut Lalu Terbalik, 2 Penumpang Tewas, 3 Luka Serius, Sopir Kabur",https://regional.kompas.com/read/2021/01/31/17104641/angkot-ngebut-lalu-terbalik-2-penumpang-tewas-3-luka-serius-sopir-kabur
2021-01-31_ko_0045,2021-01-31,Kompas,"Polisi Minta Batu Meteorit yang Jatuh di Rumah Munjilah Disimpan dan Ditutup, Ini Penyebabnya",https://regional.kompas.com/read/2021/01/31/17070031/polisi-minta-batu-meteorit-yang-jatuh-di-rumah-munjilah-disimpan-dan-ditutup
2021-01-31_ko_0046,2021-01-31,Kompas,"Pakai Alat Canggih, Museum Ini Bakal Ajak Pengunjung Rasakan Semarang Tempo Dulu",https://regional.kompas.com/read/2021/01/31/17055941/pakai-alat-canggih-museum-ini-bakal-ajak-pengunjung-rasakan-semarang-tempo
2021-01-31_ko_0047,2021-01-31,Kompas,"Rugikan Negara Rp 5 miliar, Kejari Grobogan Tetapkan Broker Lahan Bulog sebagai Tersangka Mark Up",https://regional.kompas.com/read/2021/01/31/16565221/rugikan-negara-rp-5-miliar-kejari-grobogan-tetapkan-broker-lahan-bulog
2021-01-31_ko_0048,2021-01-31,Kompas,Tersisa 288 Tempat Tidur Khusus Pasien Covid-19 di Kota Tangerang,https://megapolitan.kompas.com/read/2021/01/31/16543901/tersisa-288-tempat-tidur-khusus-pasien-covid-19-di-kota-tangerang
2021-01-31_ko_0049,2021-01-31,Kompas,"Heboh Pulau Lantigiang Dijual Warga, Bupati: Kami Ingatkan Pulau-pulau di Selayar Milik Pemerintah",https://regional.kompas.com/read/2021/01/31/16525501/heboh-pulau-lantigiang-dijual-warga-bupati-kami-ingatkan-pulau-pulau-di
2021-01-31_ko_0050,2021-01-31,Kompas,UPDATE 31 Januari: 175.095 Kasus Aktif Covid-19 di Indonesia,https://nasional.kompas.com/read/2021/01/31/16495381/update-31-januari-175095-kasus-aktif-covid-19-di-indonesia
2021-01-31_ko_0051,2021-01-31,Kompas,"Antisipasi Kepadatan Penumpang KRL, BPTJ Siapkan Bus Gratis",https://megapolitan.kompas.com/read/2021/01/31/16491501/antisipasi-kepadatan-penumpang-krl-bptj-siapkan-bus-gratis
2021-01-31_ko_0052,2021-01-31,Kompas,Momen Haru Pemakaman Kakak Beradik Korban Tragedi Pesawat Sriwijaya Air SJ 182,https://regional.kompas.com/read/2021/01/31/16480061/momen-haru-pemakaman-kakak-beradik-korban-tragedi-pesawat-sriwijaya-air-sj
2021-01-31_ko_0053,2021-01-31,Kompas,"UPDATE 31 Januari: Sebaran 12.001 Kasus Baru, Tertinggi di Jakarta, Jabar, dan Jateng",https://nasional.kompas.com/read/2021/01/31/16461151/update-31-januari-sebaran-12001-kasus-baru-tertinggi-di-jakarta-jabar-dan
2021-01-31_ko_0054,2021-01-31,Kompas,Ini Rincian Wilayah Karawang yang Diterjang Puting Beliung,https://regional.kompas.com/read/2021/01/31/16384561/ini-rincian-wilayah-karawang-yang-diterjang-puting-beliung
2021-01-31_ko_0055,2021-01-31,Kompas,"UPDATE Covid-19 di Sulteng, Sultra, Maluku, Malut, Papua, dan Papua Barat 31 Januari 2021",https://regional.kompas.com/read/2021/01/31/16231511/update-covid-19-di-sulteng-sultra-maluku-malut-papua-dan-papua-barat-31
2021-01-31_ko_0056,2021-01-31,Kompas,UPDATE 31 Januari: 73.652 Orang Suspek Covid-19 di Indonesia,https://nasional.kompas.com/read/2021/01/31/16203261/update-31-januari-73652-orang-suspek-covid-19-di-indonesia
2021-01-31_ko_0057,2021-01-31,Kompas,"2 Wanita Sembunyikan Sabu Senilai Rp 359 Juta di Dubur, Ketahuan dari Foto Rontgen",https://regional.kompas.com/read/2021/01/31/16175541/2-wanita-sembunyikan-sabu-senilai-rp-359-juta-di-dubur-ketahuan-dari-foto
2021-01-31_ko_0058,2021-01-31,Kompas,"UPDATE 31 Januari: Tambah 10.719, Total Pasien Covid-19 yang Sembuh 873.221",https://nasional.kompas.com/read/2021/01/31/16115811/update-31-januari-tambah-10719-total-pasien-covid-19-yang-sembuh-873221
2021-01-31_ko_0059,2021-01-31,Kompas,"Update Covid-19 di Aceh, Sumut, Sumbar, Riau, Kepri, Jambi, dan Bengkulu 31 Januari 2021",https://regional.kompas.com/read/2021/01/31/16100051/update-covid-19-di-aceh-sumut-sumbar-riau-kepri-jambi-dan-bengkulu-31
2021-01-31_ko_0060,2021-01-31,Kompas,"UPDATE Covid-19 di Kalteng, Kaltim, Kaltara, Gorontalo, Sulbar, Sulsel, dan Sultra 31 Januari 2021",https://regional.kompas.com/read/2021/01/31/16065571/update-covid-19-di-kalteng-kaltim-kaltara-gorontalo-sulbar-sulsel-dan-sultra
2021-01-31_ko_0061,2021-01-31,Kompas,"UPDATE 31 Januari: Tambah 270, Pasien Covid-19 Meninggal Capai 29.998 Orang",https://nasional.kompas.com/read/2021/01/31/16064571/update-31-januari-tambah-270-pasien-covid-19-meninggal-capai-29998-orang
2021-01-31_ko_0062,2021-01-31,Kompas,"Ayah Korban Kecelakaan Sriwijaya Air SJ-182: Saya Ikhlas, yang Penting Jasadnya Ditemukan",https://regional.kompas.com/read/2021/01/31/16050031/ayah-korban-kecelakaan-sriwijaya-air-sj-182-saya-ikhlas-yang-penting
