unique_id,date,source,headline,url
2021-12-31_an_01_1,2021-12-31,Antara,Direksi PIS tinjau kapal pengangkut elpiji pastikan kelancaran pasokan,https://www.antaranews.com/berita/2618273/direksi-pis-tinjau-kapal-pengangkut-elpiji-pastikan-kelancaran-pasokan
2021-12-31_an_01_2,2021-12-31,Antara,Paolo Maldini: duo Milan harus tinggalkan San Siro demi kesuksesan,https://www.antaranews.com/berita/2618269/paolo-maldini-duo-milan-harus-tinggalkan-san-siro-demi-kesuksesan
2021-12-31_an_01_3,2021-12-31,Antara,Mengalap berkah dari MotoGP,https://www.antaranews.com/berita/2618261/mengalap-berkah-dari-motogp
2021-12-31_an_01_4,2021-12-31,Antara,"Skuat masih belum cukup, Newcastle tunda lawatan ke markas Southampton",https://www.antaranews.com/berita/2618257/skuat-masih-belum-cukup-newcastle-tunda-lawatan-ke-markas-southampton
2021-12-31_an_01_5,2021-12-31,Antara,Malam bebas keramaian di pusat kota Jakarta,https://www.antaranews.com/foto/2618253/malam-bebas-keramaian-di-pusat-kota-jakarta
2021-12-31_an_01_6,2021-12-31,Antara,PM Malaysia ganti sambutan tahun baru dengan shalat Hajat,https://www.antaranews.com/berita/2618249/pm-malaysia-ganti-sambutan-tahun-baru-dengan-shalat-hajat
2021-12-31_an_01_7,2021-12-31,Antara,Taman Kota Sungailiat ramai pengunjung sambut pergantian Tahun Baru,https://www.antaranews.com/berita/2618245/taman-kota-sungailiat-ramai-pengunjung-sambut-pergantian-tahun-baru
2021-12-31_an_01_8,2021-12-31,Antara,Polri ubah unit PPA jadi direktorat,https://www.antaranews.com/berita/2618241/polri-ubah-unit-ppa-jadi-direktorat
2021-12-31_an_01_9,2021-12-31,Antara,Dirut Pertamina jamin ketersediaan BBM dan elpiji di Indonesia,https://www.antaranews.com/berita/2618237/dirut-pertamina-jamin-ketersediaan-bbm-dan-elpiji-di-indonesia
2021-12-31_an_1_10,2021-12-31,Antara,"Filipina batasi mobilitas, bisnis di ibu kota saat hadapi Omicron",https://www.antaranews.com/berita/2618233/filipina-batasi-mobilitas-bisnis-di-ibu-kota-saat-hadapi-omicron
2021-12-31_an_02_1,2021-12-31,Antara,Pertamina Patra Niaga raih penghargaan Proper Emas Kementerian LHK,https://www.antaranews.com/berita/2618225/pertamina-patra-niaga-raih-penghargaan-proper-emas-kementerian-lhk
2021-12-31_an_02_2,2021-12-31,Antara,Menunggu Taliban memenuhi hak perempuan Afghanistan,https://www.antaranews.com/berita/2618221/menunggu-taliban-memenuhi-hak-perempuan-afghanistan
2021-12-31_an_02_3,2021-12-31,Antara,"Polisi patroli bersirine bubarkan massa saat ""Crowd Free Night""",https://www.antaranews.com/berita/2618217/polisi-patroli-bersirine-bubarkan-massa-saat-crowd-free-night
2021-12-31_an_02_4,2021-12-31,Antara,Uniknya malam Tahun Baru 2022 di kuil Buddha Hasedera Jepang,https://www.antaranews.com/foto/2618213/uniknya-malam-tahun-baru-2022-di-kuil-buddha-hasedera-jepang
2021-12-31_an_02_5,2021-12-31,Antara,Subholding Upstream Pertamina raih penghargaan 9 Proper Emas,https://www.antaranews.com/berita/2618209/subholding-upstream-pertamina-raih-penghargaan-9-proper-emas
2021-12-31_an_02_6,2021-12-31,Antara,Brentford pinjam mantan kiper Huddersfield Jonas Lossl,https://www.antaranews.com/berita/2618205/brentford-pinjam-mantan-kiper-huddersfield-jonas-lossl
2021-12-31_an_02_7,2021-12-31,Antara,Pentingnya pemimpin perempuan bangun Desa Ramah Perempuan Peduli Anak,https://www.antaranews.com/berita/2618201/pentingnya-pemimpin-perempuan-bangun-desa-ramah-perempuan-peduli-anak
2021-12-31_an_02_8,2021-12-31,Antara,Bea Cukai Jateng dan DIY ungkap 2 penyelundupan sabu asal luar negeri,https://www.antaranews.com/video/2617889/bea-cukai-jateng-dan-diy-ungkap-2-penyelundupan-sabu-asal-luar-negeri
2021-12-31_an_02_9,2021-12-31,Antara,Wisatawan padati Kuta Bali pada malam Tahun Baru,https://www.antaranews.com/foto/2618193/wisatawan-padati-kuta-bali-pada-malam-tahun-baru
2021-12-31_an_2_10,2021-12-31,Antara,Memajukan perekonomian Gorontalo dengan QRIS,https://www.antaranews.com/berita/2618189/memajukan-perekonomian-gorontalo-dengan-qris
2021-12-31_an_03_1,2021-12-31,Antara,Jambi ekspor 86 ribu ton komoditas pertanian,https://www.antaranews.com/video/2618149/jambi-ekspor-86-ribu-ton-komoditas-pertanian
2021-12-31_an_03_2,2021-12-31,Antara,"PLN pasok listrik 800 MVA untuk ""smelter"" nikel di Kutai Kertanegara",https://www.antaranews.com/berita/2618181/pln-pasok-listrik-800-mva-untuk-smelter-nikel-di-kutai-kertanegara
2021-12-31_an_03_3,2021-12-31,Antara,Tentara Israel bunuh warga Palestina berpisau di Tepi Barat,https://www.antaranews.com/berita/2618177/tentara-israel-bunuh-warga-palestina-berpisau-di-tepi-barat
2021-12-31_an_03_4,2021-12-31,Antara,Malam pelepasan tahun 2021 di Denpasar tak ada kemeriahan,https://www.antaranews.com/berita/2618173/malam-pelepasan-tahun-2021-di-denpasar-tak-ada-kemeriahan
2021-12-31_an_03_5,2021-12-31,Antara,Inggris setujui pil anti virus COVID-19 buatan Pfizer,https://www.antaranews.com/berita/2618169/inggris-setujui-pil-anti-virus-covid-19-buatan-pfizer
2021-12-31_an_03_6,2021-12-31,Antara,Penyelesaian perkara secara keadilan restoratif 2021 meningkat,https://www.antaranews.com/berita/2618165/penyelesaian-perkara-secara-keadilan-restoratif-2021-meningkat
