unique_id,date,headline,source,url
2020-10-01_an_0001,2020-10-01, Latihan militer China di LCS ancam perundingan,Antara,https://www.antaranews.com/berita/1759365/vietnam-latihan-militer-china-di-lcs-ancam-perundingan
2020-10-01_an_0002,2020-10-01,"Adaptasi cerdik perancang batik dalam kondisi ""mencekik""",Antara,https://www.antaranews.com/berita/1759321/adaptasi-cerdik-perancang-batik-dalam-kondisi-mencekik
2020-10-01_an_0003,2020-10-01,Susi Pudjiastuti akan berbagi kisah dengan Mike Tyson,Antara,https://www.antaranews.com/berita/1759361/susi-pudjiastuti-akan-berbagi-kisah-dengan-mike-tyson
2020-10-01_an_0004,2020-10-01,"Dijual daring, pesanan produk UMKM Kota Kediri meningkat",Antara,https://www.antaranews.com/berita/1759357/dijual-daring-pesanan-produk-umkm-kota-kediri-meningkat
2020-10-01_an_0005,2020-10-01,"Pantau pemulihan ekonomi di masa AKB COVID-19, Kasad kunjungi Bromo",Antara,https://www.antaranews.com/berita/1759349/pantau-pemulihan-ekonomi-di-masa-akb-covid-19-kasad-kunjungi-bromo
2020-10-01_an_0006,2020-10-01,Semen Padang datangkan dua penjaga gawang sekaligus jelang Liga 2,Antara,https://www.antaranews.com/berita/1759345/semen-padang-datangkan-dua-penjaga-gawang-sekaligus-jelang-liga-2
2020-10-01_an_0007,2020-10-01,Peragaan busana pengantin nusantara,Antara,https://www.antaranews.com/foto/1759341/peragaan-busana-pengantin-nusantara
2020-10-01_an_0008,2020-10-01,Jagakarsa terbitkan 1.850 IUMK selama tiga bulan,Antara,https://www.antaranews.com/berita/1759337/jagakarsa-terbitkan-1850-iumk-selama-tiga-bulan
2020-10-01_an_0009,2020-10-01,KPK memintai keterangan mantan Dirut PINS Indonesia Slamet Riyadi,Antara,https://www.antaranews.com/berita/1759333/kpk-memintai-keterangan-mantan-dirut-pins-indonesia-slamet-riyadi
2020-10-01_an_0010,2020-10-01,Kasus positif COVID-19 di Cirebon bertambah sepuluh,Antara,https://www.antaranews.com/berita/1759329/kasus-positif-covid-19-di-cirebon-bertambah-sepuluh
2020-10-01_an_0011,2020-10-01,492 mahasiswa mengikuti Program Permata Sakti di UGM,Antara,https://www.antaranews.com/berita/1759317/492-mahasiswa-mengikuti-program-permata-sakti-di-ugm
2020-10-01_an_0012,2020-10-01,Literasi keuangan digital bantu publik hindari pinjaman ilegal via SMS,Antara,https://www.antaranews.com/berita/1759281/literasi-keuangan-digital-bantu-publik-hindari-pinjaman-ilegal-via-sms
2020-10-01_an_0013,2020-10-01,"Dongkrak perekonomian rakyat, Kementan gencarkan padat karya irigasi",Antara,https://www.antaranews.com/berita/1759313/dongkrak-perekonomian-rakyat-kementan-gencarkan-padat-karya-irigasi
2020-10-01_an_0014,2020-10-01, DP kredit kendaraan ramah lingkungan 0 persen mulai 1 Oktober,Antara,https://www.antaranews.com/berita/1759309/bi-dp-kredit-kendaraan-ramah-lingkungan-0-persen-mulai-1-oktober
2020-10-01_an_0015,2020-10-01,Persentase kasus positif COVID-19 Jakarta kembali ke angka 11 persen,Antara,https://www.antaranews.com/berita/1759305/persentase-kasus-positif-covid-19-jakarta-kembali-ke-angka-11-persen
2020-10-01_an_0016,2020-10-01, Seleksi kepribadian calon hakim agung digelar secara daring,Antara,https://www.antaranews.com/berita/1759301/ky-seleksi-kepribadian-calon-hakim-agung-digelar-secara-daring
