unique_id,date,headline,source,url
2020-10-25_an_0001,2020-10-25,"Cegah COVID-19, perhatikan desinfeksi-ventilasi udara bioskop",Antara,https://www.antaranews.com/berita/1803705/cegah-covid-19-perhatikan-desinfeksi-ventilasi-udara-bioskop
2020-10-25_an_0002,2020-10-25,Budidaya cacing lumbricus yang menjanjikan,Antara,https://www.antaranews.com/video/1803633/budidaya-cacing-lumbricus-yang-menjanjikan
2020-10-25_an_0003,2020-10-25,Mengintip perajin kaca lukis di Cirebon,Antara,https://www.antaranews.com/foto/1803701/mengintip-perajin-kaca-lukis-di-cirebon
2020-10-25_an_0004,2020-10-25,Pemerintah apresiasi UKM Virtual Expo 2020,Antara,https://www.antaranews.com/berita/1803697/pemerintah-apresiasi-ukm-virtual-expo-2020
2020-10-25_an_0005,2020-10-25,Tiga wisatawan tenggelam di Bendungan Cikoncang Lebak meninggal,Antara,https://www.antaranews.com/berita/1803693/tiga-wisatawan-tenggelam-di-bendungan-cikoncang-lebak-meninggal
2020-10-25_an_0006,2020-10-25,"Potensi konflik terjadi, IDE Center: Pelaksanaan pilkada harus diawasi",Antara,https://www.antaranews.com/berita/1803689/potensi-konflik-terjadi-ide-center-pelaksanaan-pilkada-harus-diawasi
2020-10-25_an_0007,2020-10-25,BBM RON rendah sebabkan beban kesehatan dan lingkungan,Antara,https://www.antaranews.com/berita/1803681/bbm-ron-rendah-sebabkan-beban-kesehatan-dan-lingkungan
2020-10-25_an_0008,2020-10-25,"Lampaui target WHO, Pemkab Cirebon telah tes usap lebih dari satu persen penduduk",Antara,https://www.antaranews.com/video/1803577/lampaui-target-who-pemkab-cirebon-telah-tes-usap-lebih-dari-satu-persen-penduduk
2020-10-25_an_0009,2020-10-25,KKP sebut profesi sebagai nelayan adalah menjanjikan,Antara,https://www.antaranews.com/berita/1803677/kkp-sebut-profesi-sebagai-nelayan-adalah-menjanjikan
2020-10-25_an_0010,2020-10-25,Gugus Tugas COVID-19 diminta pantau protokol kesehatan di bioskop,Antara,https://www.antaranews.com/berita/1803673/gugus-tugas-covid-19-diminta-pantau-protokol-kesehatan-di-bioskop
2020-10-25_an_0011,2020-10-25,39 kelurahan di Banjarmasin sudah zona hijau COVID-19,Antara,https://www.antaranews.com/berita/1803669/39-kelurahan-di-banjarmasin-sudah-zona-hijau-covid-19
2020-10-25_an_0012,2020-10-25,"Gerak Semut, bimbel gratis dengan tutor sebaya",Antara,https://www.antaranews.com/video/1803597/gerak-semut-bimbel-gratis-dengan-tutor-sebaya
2020-10-25_an_0013,2020-10-25,"Dari zona hijau, Banjarmasin setuju rancangan sekolah tatap muka",Antara,https://www.antaranews.com/berita/1803665/dari-zona-hijau-banjarmasin-setuju-rancangan-sekolah-tatap-muka
2020-10-25_an_0014,2020-10-25,Program Jaga Sungai Jaga Kehidupan BRI di Semarang,Antara,https://www.antaranews.com/foto/1803661/program-jaga-sungai-jaga-kehidupan-bri-di-semarang
2020-10-25_an_0015,2020-10-25,Raja-Raja Melayu tolak usulan darurat nasional perdana menteri,Antara,https://www.antaranews.com/berita/1803657/raja-raja-melayu-tolak-usulan-darurat-nasional-perdana-menteri
2020-10-25_an_0016,2020-10-25,"Ada tambahan, positif COVID-19 Penajam Paser Utara naik 132 kasus",Antara,https://www.antaranews.com/berita/1803653/ada-tambahan-positif-covid-19-penajam-paser-utara-naik-132-kasus
2020-10-25_an_0017,2020-10-25,PSBB transisi Jakarta kembali diperpanjang,Antara,https://www.antaranews.com/foto/1803649/psbb-transisi-jakarta-kembali-diperpanjang
2020-10-25_an_0018,2020-10-25,Kelompok Houthi targetkan dua bandara dan satu pangkalan di Arab Saudi,Antara,https://www.antaranews.com/berita/1803645/kelompok-houthi-targetkan-dua-bandara-dan-satu-pangkalan-di-arab-saudi
2020-10-25_an_0019,2020-10-25,"Awas, transportasi jangan jadi kluster pandemi saat cuti bersama",Antara,https://www.antaranews.com/berita/1803641/awas-transportasi-jangan-jadi-kluster-pandemi-saat-cuti-bersama
2020-10-25_an_0020,2020-10-25,Tes usap pelayan rumah makan hadirkan kuliner aman di Ranah Minang,Antara,https://www.antaranews.com/berita/1803637/tes-usap-pelayan-rumah-makan-hadirkan-kuliner-aman-di-ranah-minang
2020-10-25_an_0021,2020-10-25, Kasus COVID-19 di Lampung bertambah 50 orang,Antara,https://www.antaranews.com/berita/1803629/dinkes-kasus-covid-19-di-lampung-bertambah-50-orang
2020-10-25_an_0022,2020-10-25,Kevin Aprilio resmi nikahi Vicy Melanie,Antara,https://www.antaranews.com/berita/1803593/kevin-aprilio-resmi-nikahi-vicy-melanie
2020-10-25_an_0023,2020-10-25,Pasien meninggal akibat COVID-19 di Sultra menjadi 79 orang,Antara,https://www.antaranews.com/berita/1803625/pasien-meninggal-akibat-covid-19-di-sultra-menjadi-79-orang
2020-10-25_an_0024,2020-10-25,Papua maksimalkan persiapan PON XX setelah hitung mundur dimulai,Antara,https://www.antaranews.com/berita/1803621/papua-maksimalkan-persiapan-pon-xx-setelah-hitung-mundur-dimulai
2020-10-25_an_0025,2020-10-25,Bank Ekspor-Impor AS jajaki potensi pendanaan investasi di Indonesia,Antara,https://www.antaranews.com/berita/1803617/bank-ekspor-impor-as-jajaki-potensi-pendanaan-investasi-di-indonesia
2020-10-25_an_0026,2020-10-25,Gubernur Jateng buka UKM Virtual Expo 2020,Antara,https://www.antaranews.com/berita/1803613/gubernur-jateng-buka-ukm-virtual-expo-2020
2020-10-25_an_0027,2020-10-25,Podkesmas berbagi ilmu podcast di ulang tahun pertama,Antara,https://www.antaranews.com/berita/1803609/podkesmas-berbagi-ilmu-podcast-di-ulang-tahun-pertama
2020-10-25_an_0028,2020-10-25,Bantul upayakan peningkatan efektivitas belajar siswa saat pandemi,Antara,https://www.antaranews.com/berita/1803605/bantul-upayakan-peningkatan-efektivitas-belajar-siswa-saat-pandemi
2020-10-25_an_0029,2020-10-25,"""TPID Award"" motivasi Maluku Tenggara untuk terus bekerja keras",Antara,https://www.antaranews.com/berita/1803601/tpid-award-motivasi-maluku-tenggara-untuk-terus-bekerja-keras
2020-10-25_an_0030,2020-10-25,Memanfaatkan lahan pekarangan dengan bunga telang,Antara,https://www.antaranews.com/video/1803561/memanfaatkan-lahan-pekarangan-dengan-bunga-telang
2020-10-25_an_0031,2020-10-25,Kilas NusAntara Edisi COVID-19,Antara,https://www.antaranews.com/video/1803377/kilas-nusantara-edisi-covid-19
2020-10-25_an_0032,2020-10-25,Pasien sembuh dari COVID-19 di DIY bertambah 68 menjadi 2.910 orang,Antara,https://www.antaranews.com/berita/1803549/pasien-sembuh-dari-covid-19-di-diy-bertambah-68-menjadi-2910-orang
2020-10-25_an_0033,2020-10-25,Aplikasi pemantau COVID-19 Samsung tersedia untuk pengguna Indonesia,Antara,https://www.antaranews.com/berita/1803589/aplikasi-pemantau-covid-19-samsung-tersedia-untuk-pengguna-indonesia
2020-10-25_an_0034,2020-10-25,Catur putri Indonesia raih peringkat dua Piala Asia,Antara,https://www.antaranews.com/berita/1803585/catur-putri-indonesia-raih-peringkat-dua-piala-asia
2020-10-25_an_0035,2020-10-25,Kebakaran hutan di Colorado,Antara,https://www.antaranews.com/foto/1803581/kebakaran-hutan-di-colorado
2020-10-25_an_0036,2020-10-25,Aksi warga Irak memperingati satu tahun peristiwa demo anti pemerintah,Antara,https://www.antaranews.com/foto/1803573/aksi-warga-irak-memperingati-satu-tahun-peristiwa-demo-anti-pemerintah
2020-10-25_an_0037,2020-10-25,La Nyalla sebut UMKM mampu bertahan di tengah pandemi COVID-19,Antara,https://www.antaranews.com/berita/1803569/la-nyalla-sebut-umkm-mampu-bertahan-di-tengah-pandemi-covid-19
2020-10-25_an_0038,2020-10-25,Warga diimbau bongkar bangunan yang ganggu saluran di Kali Poncol,Antara,https://www.antaranews.com/berita/1803565/warga-diimbau-bongkar-bangunan-yang-ganggu-saluran-di-kali-poncol
2020-10-25_an_0039,2020-10-25,Episentrum COVID-19 Australia tunda pelonggaran 'lockdown',Antara,https://www.antaranews.com/berita/1803557/episentrum-covid-19-australia-tunda-pelonggaran-lockdown
2020-10-25_an_0040,2020-10-25,Polda Metro Jaya perpanjang peniadaan ganjil-genap hingga 8 November,Antara,https://www.antaranews.com/berita/1803553/polda-metro-jaya-perpanjang-peniadaan-ganjil-genap-hingga-8-november
2020-10-25_an_0041,2020-10-25,Asosiasi Medis Malaysia tolak darurat nasional,Antara,https://www.antaranews.com/berita/1803545/asosiasi-medis-malaysia-tolak-darurat-nasional
2020-10-25_an_0042,2020-10-25,Pasar Beringharjo perketat protokol kesehatan saat libur panjang,Antara,https://www.antaranews.com/berita/1803509/pasar-beringharjo-perketat-protokol-kesehatan-saat-libur-panjang
2020-10-25_an_0043,2020-10-25,"313.714 orang sembuh,  kasus COVID-19 capai 389.712 orang",Antara,https://www.antaranews.com/berita/1803541/313714-orang-sembuh-kasus-covid-19-capai-389712-orang
2020-10-25_an_0044,2020-10-25,Jaksel giatkan kerja bakti untuk cegah banjir,Antara,https://www.antaranews.com/berita/1803537/jaksel-giatkan-kerja-bakti-untuk-cegah-banjir
2020-10-25_an_0045,2020-10-25,PSBB transisi DKI Jakarta diperpanjang hingga 8 November 2020,Antara,https://www.antaranews.com/berita/1803533/psbb-transisi-dki-jakarta-diperpanjang-hingga-8-november-2020
2020-10-25_an_0046,2020-10-25,Sumpah Pemuda terwujud berkat kesanggupan singkirkan primordialisme,Antara,https://www.antaranews.com/berita/1803529/sumpah-pemuda-terwujud-berkat-kesanggupan-singkirkan-primordialisme
2020-10-25_an_0047,2020-10-25,Pemkot Surakarta kembali tutup sementara Pasar Harjodaksino,Antara,https://www.antaranews.com/berita/1803525/pemkot-surakarta-kembali-tutup-sementara-pasar-harjodaksino
2020-10-25_an_0048,2020-10-25,"Berkontribusi ikut membangun, Bupati Bekasi sebut santri aset pemda",Antara,https://www.antaranews.com/berita/1803521/berkontribusi-ikut-membangun-bupati-bekasi-sebut-santri-aset-pemda
2020-10-25_an_0049,2020-10-25,"Tambah 83 orang, positif COVID-19 di Papua naik jadi 9.154 kasus",Antara,https://www.antaranews.com/berita/1803517/tambah-83-orang-positif-covid-19-di-papua-naik-jadi-9154-kasus
2020-10-25_an_0050,2020-10-25,LLDIKTI X: Literasi digital bisa tingkatkan kemampuan pustakawan PTS,Antara,https://www.antaranews.com/berita/1803513/lldikti-x-literasi-digital-bisa-tingkatkan-kemampuan-pustakawan-pts
2020-10-25_an_0051,2020-10-25,"43 tenaga kesehatan di Bandung positif COVID-19, sebut Dinkes",Antara,https://www.antaranews.com/berita/1803505/43-tenaga-kesehatan-di-bandung-positif-covid-19-sebut-dinkes
2020-10-25_an_0052,2020-10-25,Perusahan perkebunan sawit miliki peran strategis cegah Karhutla,Antara,https://www.antaranews.com/berita/1803473/perusahan-perkebunan-sawit-miliki-peran-strategis-cegah-karhutla
2020-10-25_an_0053,2020-10-25,Dinkes Kota Cirebon minta warga tetap terapkan 3M saat libur panjang,Antara,https://www.antaranews.com/berita/1803501/dinkes-kota-cirebon-minta-warga-tetap-terapkan-3m-saat-libur-panjang
2020-10-25_an_0054,2020-10-25,KBRI London ajak mahasiswa di Inggris dan Irlandia bangun bangsa,Antara,https://www.antaranews.com/berita/1803497/kbri-london-ajak-mahasiswa-di-inggris-dan-irlandia-bangun-bangsa
2020-10-25_an_0055,2020-10-25,Hodgson bangga disiplin pemain Palace setelah tumbangkan Fulham,Antara,https://www.antaranews.com/berita/1803493/hodgson-bangga-disiplin-pemain-palace-setelah-tumbangkan-fulham
2020-10-25_an_0056,2020-10-25,Pasaraya Manggarai Jakarta Selatan kebakaran,Antara,https://www.antaranews.com/berita/1803489/pasaraya-manggarai-jakarta-selatan-kebakaran
