unique_id,date,headline,source,url
2020-08-05_an_0001,2020-08-05,Delapan penyandang disabilitas di Pulau Tidung terima bantuan Kemensos,Antara,https://www.antaranews.com/berita/1651378/delapan-penyandang-disabilitas-di-pulau-tidung-terima-bantuan-kemensos
2020-08-05_an_0002,2020-08-05,Kasus positif COVID-19 Jakarta bertambah 357,Antara,https://www.antaranews.com/berita/1651342/kasus-positif-covid-19-jakarta-bertambah-357
2020-08-05_an_0003,2020-08-05,Aduan tertinggi ke posko COVID-19 Ombudsman terkait bansos,Antara,https://www.antaranews.com/video/1651326/aduan-tertinggi-ke-posko-covid-19-ombudsman-terkait-bansos
2020-08-05_an_0004,2020-08-05,Korban investasi bodong Cianjur berharap bantuan Hotman Paris,Antara,https://www.antaranews.com/berita/1651370/korban-investasi-bodong-cianjur-berharap-bantuan-hotman-paris
2020-08-05_an_0005,2020-08-05,"Tutup posko virtual COVID-19, Ombudsman: Tetap terima laporan",Antara,https://www.antaranews.com/berita/1651362/tutup-posko-virtual-covid-19-ombudsman-tetap-terima-laporan
2020-08-05_an_0006,2020-08-05,Kemenkes tegaskan obat herbal tak bisa sembuhkan COVID-19,Antara,https://www.antaranews.com/video/1651346/kemenkes-tegaskan-obat-herbal-tak-bisa-sembuhkan-covid-19
2020-08-05_an_0007,2020-08-05,"Program PEN lindungi kemampuan ekonomi pelaku usaha, kata Anggota DPR",Antara,https://www.antaranews.com/berita/1651358/program-pen-lindungi-kemampuan-ekonomi-pelaku-usaha-kata-anggota-dpr
2020-08-05_an_0008,2020-08-05,"Menjelajahi gua berusia 1.500 tahun di Liaoning, China timur laut",Antara,https://www.antaranews.com/video/1651274/menjelajahi-gua-berusia-1500-tahun-di-liaoning-china-timur-laut
2020-08-05_an_0009,2020-08-05, Jenis virus corona baru sebabkan ratusan unta mati,Antara,https://www.antaranews.com/berita/1651354/kenya-jenis-virus-corona-baru-sebabkan-ratusan-unta-mati
2020-08-05_an_0010,2020-08-05,Komisi XI akan panggil Menkeu cegah ekonomi negatif berlanjut,Antara,https://www.antaranews.com/berita/1651350/komisi-xi-akan-panggil-menkeu-cegah-ekonomi-negatif-berlanjut
2020-08-05_an_0011,2020-08-05, perlu terobosan dalam strategi pemasaran pariwisata,Antara,https://www.antaranews.com/berita/1651338/pengamat-perlu-terobosan-dalam-strategi-pemasaran-pariwisata
2020-08-05_an_0012,2020-08-05,Rumah adaptif ala arsitek Indonesia,Antara,https://www.antaranews.com/berita/1651306/rumah-adaptif-ala-arsitek-indonesia
2020-08-05_an_0013,2020-08-05,Pemerintah fokus genjot UMKM antisipasi ancaman resesi,Antara,https://www.antaranews.com/berita/1651334/pemerintah-fokus-genjot-umkm-antisipasi-ancaman-resesi
2020-08-05_an_0014,2020-08-05,TransJakarta siap gunakan metode pembayaran QR Code mulai Oktober 2020,Antara,https://www.antaranews.com/berita/1651330/transjakarta-siap-gunakan-metode-pembayaran-qr-code-mulai-oktober-2020
2020-08-05_an_0015,2020-08-05,Ombudsman temukan potensi maladministrasi dalam pengelolaan rusun,Antara,https://www.antaranews.com/video/1651234/ombudsman-temukan-potensi-maladministrasi-dalam-pengelolaan-rusun
2020-08-05_an_0016,2020-08-05,Dekan FISIP UMRAH kesal dikarantina akibat kontak erat Gubernur Kepri,Antara,https://www.antaranews.com/berita/1651322/dekan-fisip-umrah-kesal-dikarantina-akibat-kontak-erat-gubernur-kepri
